"date","item","price"
2022-01-01,"StockA",98.9290487068956
2022-01-02,"StockA",98.518693727929
2022-01-03,"StockA",101.686110356227
2022-01-04,"StockA",101.877127139076
2022-01-05,"StockA",102.185702609398
2022-01-06,"StockA",105.665832583165
2022-01-07,"StockA",106.637664995143
2022-01-08,"StockA",104.15754252593
2022-01-09,"StockA",102.833836822143
2022-01-10,"StockA",101.992512881943
2022-01-11,"StockA",104.490676476822
2022-01-12,"StockA",105.260304130937
2022-01-13,"StockA",106.111847032125
2022-01-14,"StockA",106.383212464015
2022-01-15,"StockA",105.321530194507
2022-01-16,"StockA",108.945356468113
2022-01-17,"StockA",109.991057424572
2022-01-18,"StockA",106.107823111312
2022-01-19,"StockA",107.56053491444
2022-01-20,"StockA",106.664952098984
2022-01-21,"StockA",104.57930468701
2022-01-22,"StockA",104.193354857694
2022-01-23,"StockA",102.191345961079
2022-01-24,"StockA",100.783563502497
2022-01-25,"StockA",99.5834849667984
2022-01-26,"StockA",96.2600983453136
2022-01-27,"StockA",97.9856724343026
2022-01-28,"StockA",98.3424186699756
2022-01-29,"StockA",96.1161447959517
2022-01-30,"StockA",98.6737746380916
2022-01-31,"StockA",99.5767030810452
2022-02-01,"StockA",99.0365601150607
2022-02-02,"StockA",100.876811437151
2022-02-03,"StockA",102.683078412217
2022-02-04,"StockA",104.376240575492
2022-02-05,"StockA",105.803521083692
2022-02-06,"StockA",106.961356390767
2022-02-07,"StockA",106.887532969614
2022-02-08,"StockA",106.325607642134
2022-02-09,"StockA",105.614665640109
2022-02-10,"StockA",104.275251682268
2022-02-11,"StockA",103.909417126229
2022-02-12,"StockA",101.428624423092
2022-02-13,"StockA",105.816536353769
2022-02-14,"StockA",108.282460350379
2022-02-15,"StockA",106.086243183973
2022-02-16,"StockA",105.330473513375
2022-02-17,"StockA",104.447162806128
2022-02-18,"StockA",106.057093042801
2022-02-19,"StockA",105.940354909857
2022-02-20,"StockA",106.496991937847
2022-02-21,"StockA",106.489898427149
2022-02-22,"StockA",106.454157512567
2022-02-23,"StockA",109.241362080595
2022-02-24,"StockA",108.839820109277
2022-02-25,"StockA",111.922761318136
2022-02-26,"StockA",108.875255709676
2022-02-27,"StockA",110.094483208948
2022-02-28,"StockA",110.392191696637
2022-03-01,"StockA",110.874074834125
2022-03-02,"StockA",111.683353799645
2022-03-03,"StockA",110.728706893426
2022-03-04,"StockA",110.112292126087
2022-03-05,"StockA",108.125141359873
2022-03-06,"StockA",106.031558906922
2022-03-07,"StockA",106.68861618973
2022-03-08,"StockA",107.635035746989
2022-03-09,"StockA",107.79104420045
2022-03-10,"StockA",109.68557913621
2022-03-11,"StockA",113.835748507464
2022-03-12,"StockA",112.903686175351
2022-03-13,"StockA",108.335348424069
2022-03-14,"StockA",110.396825472994
2022-03-15,"StockA",109.028423947829
2022-03-16,"StockA",107.702406714894
2022-03-17,"StockA",109.803549454288
2022-03-18,"StockA",109.284003440186
2022-03-19,"StockA",106.892568015677
2022-03-20,"StockA",107.305174975175
2022-03-21,"StockA",107.077392250297
2022-03-22,"StockA",107.138920622097
2022-03-23,"StockA",107.959481424349
2022-03-24,"StockA",107.268161360764
2022-03-25,"StockA",108.606914457802
2022-03-26,"StockA",108.215941334165
2022-03-27,"StockA",108.929505261996
2022-03-28,"StockA",111.173183288295
2022-03-29,"StockA",112.093546269962
2022-03-30,"StockA",111.4916830989
2022-03-31,"StockA",113.839298335802
2022-04-01,"StockA",115.876306047726
2022-04-02,"StockA",117.023099966742
2022-04-03,"StockA",117.550563436965
2022-04-04,"StockA",116.344751284887
2022-04-05,"StockA",119.116056181947
2022-04-06,"StockA",117.965537007652
2022-04-07,"StockA",122.390202993685
2022-04-08,"StockA",125.505424246056
2022-04-09,"StockA",125.084023527855
2022-04-10,"StockA",123.081181727241
2022-04-11,"StockA",121.710368599843
2022-04-12,"StockA",122.274136018156
2022-04-13,"StockA",121.830752261231
2022-04-14,"StockA",121.185667062436
2022-04-15,"StockA",119.332429927906
2022-04-16,"StockA",119.292374478288
2022-04-17,"StockA",117.772565539374
2022-04-18,"StockA",114.486681666197
2022-04-19,"StockA",113.776228625622
2022-04-20,"StockA",115.664221843743
2022-04-21,"StockA",114.563527918526
2022-04-22,"StockA",115.829456562977
2022-04-23,"StockA",112.643691146398
2022-04-24,"StockA",112.582567215349
2022-04-25,"StockA",113.671381623236
2022-04-26,"StockA",114.32368834757
2022-04-27,"StockA",114.585040735867
2022-04-28,"StockA",113.353628719257
2022-04-29,"StockA",111.704220027189
2022-04-30,"StockA",109.70596244598
2022-05-01,"StockA",109.99125564018
2022-05-02,"StockA",108.14630641181
2022-05-03,"StockA",107.215191524409
2022-05-04,"StockA",106.753007140012
2022-05-05,"StockA",110.490731150477
2022-05-06,"StockA",109.236831347086
2022-05-07,"StockA",109.757604491656
2022-05-08,"StockA",109.963526190783
2022-05-09,"StockA",108.089812922523
2022-05-10,"StockA",107.997196750276
2022-05-11,"StockA",110.936298467122
2022-05-12,"StockA",111.889306573281
2022-05-13,"StockA",112.021772417267
2022-05-14,"StockA",111.226778752587
2022-05-15,"StockA",107.170284309506
2022-05-16,"StockA",109.482958736335
2022-05-17,"StockA",106.611678594485
2022-05-18,"StockA",108.14157361624
2022-05-19,"StockA",112.009780754675
2022-05-20,"StockA",109.171994432731
2022-05-21,"StockA",110.625563103481
2022-05-22,"StockA",110.151168124676
2022-05-23,"StockA",107.056879806385
2022-05-24,"StockA",104.077544498821
2022-05-25,"StockA",100.924472151672
2022-05-26,"StockA",99.9126591073313
2022-05-27,"StockA",97.0391479373395
2022-05-28,"StockA",98.4649814832912
2022-05-29,"StockA",102.715199364343
2022-05-30,"StockA",100.191138412272
2022-05-31,"StockA",101.816616107223
2022-06-01,"StockA",103.404700589224
2022-06-02,"StockA",104.119105747125
2022-06-03,"StockA",102.152352530571
2022-06-04,"StockA",101.963447317309
2022-06-05,"StockA",101.452656646969
2022-06-06,"StockA",102.62863571341
2022-06-07,"StockA",101.933758201202
2022-06-08,"StockA",103.937704974573
2022-06-09,"StockA",103.238543259039
2022-06-10,"StockA",105.393966190198
2022-06-11,"StockA",103.345612176866
2022-06-12,"StockA",100.87530168735
2022-06-13,"StockA",107.407381557234
2022-06-14,"StockA",106.623666380914
2022-06-15,"StockA",107.270121563995
2022-06-16,"StockA",108.593260912063
2022-06-17,"StockA",107.675699660645
2022-06-18,"StockA",108.759423749272
2022-06-19,"StockA",109.547352804043
2022-06-20,"StockA",109.166591788759
2022-06-21,"StockA",109.34717785581
2022-06-22,"StockA",109.329043348333
2022-06-23,"StockA",113.635947146365
2022-06-24,"StockA",112.20327495382
2022-06-25,"StockA",110.06128241967
2022-06-26,"StockA",110.186859218012
2022-06-27,"StockA",110.857820716899
2022-06-28,"StockA",111.780867674719
2022-06-29,"StockA",110.914137009297
2022-06-30,"StockA",108.837484741354
2022-07-01,"StockA",111.413855093533
2022-07-02,"StockA",110.764554317626
2022-07-03,"StockA",109.08352859232
2022-07-04,"StockA",108.660969454437
2022-07-05,"StockA",108.31661766574
2022-07-06,"StockA",110.586458245168
2022-07-07,"StockA",110.805932829562
2022-07-08,"StockA",112.364040399931
2022-07-09,"StockA",111.415456365586
